,satisfaction_score,customer_status,cltv,number_of_referrals,tenure_in_months,offer,phone_service,avg_monthly_long_distance_charges,multiple_lines,internet_type,avg_monthly_gb_download,online_security,online_backup,device_protection_plan,premium_tech_support,streaming_tv,streaming_movies,streaming_music,unlimited_data,contract,paperless_billing,payment_method,monthly_charge,total_charges,total_refunds,total_extra_data_charges,total_long_distance_charges,population,latitude,longitude,gender,age,married,number_of_dependents
10,1,1,5980,0,11,Offer D,True,11.59,False,Fiber Optic,29,False,True,False,False,True,True,False,False,Month-to-Month,True,Bank Withdrawal,95.0,1120.3,0.0,120,127.49,57146,34.207295,-118.400022,Female,78,False,1
11,1,1,4616,0,15,Offer D,True,29.11,False,Fiber Optic,29,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,74.4,1074.3,0.0,0,436.65,33817,34.097345,-117.906736,Male,65,False,0
12,2,1,5828,1,1,Offer E,False,0.0,False,DSL,12,False,True,False,False,True,False,False,True,Month-to-Month,False,Bank Withdrawal,40.2,40.2,0.0,0,0.0,62660,34.074492,-118.01462,Male,77,True,0
13,2,1,2314,0,3,Offer E,False,0.0,False,DSL,28,False,False,True,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,41.15,132.2,0.0,0,0.0,30802,34.038983,-117.991372,Male,67,False,0
14,1,1,2494,0,13,Offer D,True,32.68,True,Cable,11,False,True,True,False,True,True,False,False,Month-to-Month,True,Bank Withdrawal,106.9,1364.3,0.0,10,424.84,46342,33.976753,-117.897367,Male,68,False,0
15,1,1,3810,0,16,Offer D,True,9.43,False,Fiber Optic,9,False,False,False,True,True,True,True,True,Month-to-Month,True,Bank Withdrawal,94.45,1511.2,0.0,0,150.88,49474,34.074087,-117.605618,Female,68,False,0
16,2,1,4345,0,8,None,True,1.78,False,Fiber Optic,7,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,74.5,606.55,0.0,0,14.24,16486,32.827184,-116.703729,Male,66,False,0
17,2,1,4902,0,1,Offer E,True,35.09,False,Fiber Optic,17,False,False,True,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,75.3,75.3,0.0,20,35.09,17018,33.53604,-116.119222,Female,80,False,0
18,2,1,4099,0,5,Offer E,False,0.0,False,DSL,26,False,True,False,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,28.45,131.05,0.0,0,0.0,63999,34.004379,-117.447864,Female,77,False,0
19,1,1,2666,0,20,None,True,48.73,True,Fiber Optic,12,False,True,True,False,False,True,False,False,Month-to-Month,True,Bank Withdrawal,94.1,1782.4,0.0,80,974.5999999999999,39264,33.644585,-116.871544,Female,77,False,0
20,1,1,5273,4,5,Offer E,True,45.76,True,Fiber Optic,22,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,74.35,334.8,0.0,0,228.79999999999998,46214,33.970661,-117.255039,Female,72,True,0
21,1,1,4517,2,27,None,True,7.02,False,Cable,25,True,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,75.2,1929.35,0.0,0,189.54,26357,33.828289,-117.201666,Female,80,True,0
22,1,1,5808,0,4,None,True,48.35,True,Cable,24,False,False,True,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,89.2,346.2,0.0,0,193.4,36301,33.848733,-117.788357,Female,74,False,0
23,1,1,4880,0,1,None,True,45.81,True,Fiber Optic,21,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,85.7,85.7,0.0,0,45.81,1408,33.924143,-117.79387,Female,68,False,0
24,1,1,4196,3,65,Offer B,True,18.39,True,Fiber Optic,28,True,False,True,False,True,True,False,True,Month-to-Month,False,Bank Withdrawal,105.25,6786.4,0.0,0,1195.3500000000001,20893,33.884073,-117.732197,Female,78,True,0
25,2,1,5059,3,49,Offer B,True,22.92,True,Fiber Optic,14,False,True,False,False,False,True,False,True,Month-to-Month,False,Credit Card,90.05,4547.25,0.0,0,1123.0800000000002,576,34.420998,-119.60137,Male,75,True,0
26,2,1,2728,1,43,Offer B,True,14.52,True,Fiber Optic,5,False,True,True,True,True,True,False,True,Month-to-Month,True,Bank Withdrawal,110.75,4687.9,0.0,0,624.36,31727,34.419203,-119.710008,Male,77,True,0
27,1,1,6268,0,56,Offer B,True,48.8,True,Fiber Optic,12,True,False,True,False,True,True,False,True,One Year,True,Bank Withdrawal,104.55,5794.65,0.0,0,2732.7999999999997,1054,35.869626,-119.498771,Male,80,True,0
28,1,1,5604,7,20,None,True,5.31,True,Fiber Optic,10,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,94.55,1899.65,0.0,0,106.19999999999999,191,36.057458,-118.591951,Male,75,True,0
29,2,1,2065,0,2,None,True,47.47,True,Fiber Optic,19,False,True,False,False,False,True,True,True,Month-to-Month,False,Bank Withdrawal,89.5,161.5,0.0,0,94.94,37280,35.772244,-119.209689,Female,69,False,0
30,2,1,5432,0,8,None,True,27.95,False,None,0,False,False,False,False,False,False,False,False,Month-to-Month,False,Bank Withdrawal,19.65,164.3,0.0,0,223.6,626,35.215731,-119.57013,Female,74,False,0
31,2,1,5597,0,52,None,False,0.0,False,DSL,18,False,True,False,False,True,True,True,False,Month-to-Month,True,Bank Withdrawal,49.15,2550.9,0.0,30,0.0,46171,33.507255,-117.029473,Male,76,False,0
32,2,1,3475,0,2,None,True,43.99,False,DSL,27,True,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,49.25,91.1,0.0,0,87.98,47224,32.961064,-117.134917,Male,69,False,0
33,3,1,4333,1,33,None,True,27.78,True,Fiber Optic,8,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,94.5,3105.55,0.0,0,916.74,47224,32.961064,-117.134917,Male,72,True,0
34,1,1,2482,0,30,None,True,45.88,True,Fiber Optic,19,True,True,True,False,False,False,False,True,Month-to-Month,False,Credit Card,91.7,2758.15,0.0,0,1376.4,47224,32.961064,-117.134917,Female,69,False,0
35,3,1,5444,0,20,None,True,44.44,True,Fiber Optic,13,False,False,True,False,True,True,False,False,Month-to-Month,True,Bank Withdrawal,98.55,1842.8,0.0,120,888.8,47224,32.961064,-117.134917,Male,73,False,0
36,1,1,2403,0,46,None,True,2.37,True,Fiber Optic,20,True,True,True,False,True,True,True,True,One Year,True,Bank Withdrawal,110.0,4874.8,0.0,0,109.02000000000001,807,36.798882,-120.019511,Female,65,False,0
37,3,1,3265,1,7,None,True,21.91,True,Cable,11,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,95.6,644.35,0.0,0,153.37,26213,36.545322,-119.642281,Male,74,True,0
38,3,1,5301,0,4,None,True,36.93,False,Fiber Optic,18,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,78.85,292.8,0.0,0,147.72,3146,36.719141,-119.202677,Female,65,False,0
39,3,1,5679,0,55,None,True,37.38,True,Fiber Optic,7,False,False,True,False,True,True,True,False,One Year,True,Bank Withdrawal,100.0,5509.3,0.0,100,2055.9,35790,36.654614,-119.903674,Female,66,False,0
40,1,1,5849,1,20,None,True,5.37,False,Fiber Optic,24,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,73.65,1463.5,0.0,0,107.4,254,35.930782,-121.189757,Male,71,True,0
41,1,1,4038,0,9,None,True,48.71,True,Fiber Optic,15,False,False,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,100.5,918.6,0.0,0,438.39,28998,37.7795,-122.419233,Male,65,False,0
42,1,1,3189,0,10,None,True,5.46,False,Fiber Optic,24,False,True,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,72.85,688.65,0.0,30,54.6,13723,37.791998,-122.408653,Male,69,False,0
43,2,1,4369,0,1,None,True,36.92,True,Fiber Optic,6,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,73.55,73.55,0.0,0,36.92,30587,37.758085,-122.434801,Male,75,True,0
44,1,1,3501,0,3,None,True,41.9,True,Fiber Optic,11,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,79.4,205.05,0.0,0,125.69999999999999,1458,37.820894,-122.369725,Female,75,False,0
45,1,1,2467,0,4,None,True,6.68,True,Cable,17,False,False,False,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,84.6,360.1,0.0,0,26.72,1723,37.386978,-122.177746,Female,68,False,0
46,1,1,2074,0,35,None,True,20.83,True,Fiber Optic,19,False,False,True,False,True,True,False,False,Month-to-Month,True,Bank Withdrawal,99.05,3395.8,0.0,120,729.05,138,38.140719,-121.838298,Male,71,False,0
47,2,1,5900,0,2,Offer E,True,26.62,False,DSL,11,False,False,False,False,False,False,False,True,Month-to-Month,False,Credit Card,44.95,85.15,0.0,0,53.24,10153,37.83323,-121.601461,Male,80,False,0
48,1,1,5084,0,8,None,True,11.57,False,Fiber Optic,27,True,False,False,True,True,True,True,True,Month-to-Month,False,Credit Card,100.3,832.35,0.0,0,92.56,46917,37.516791,-121.899117,Male,66,False,0
49,1,1,4829,2,44,None,False,0.0,False,Cable,28,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,30.35,1359.7,0.0,0,0.0,75929,37.571748,-121.659562,Male,73,True,0
50,1,1,5052,1,62,None,True,7.11,True,Fiber Optic,16,False,True,True,False,True,True,True,True,One Year,True,Bank Withdrawal,103.75,6383.35,0.0,0,440.82,63947,38.489789,-122.27011,Male,77,True,0
51,2,1,3601,1,33,None,True,33.19,True,Cable,15,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,80.6,2656.5,0.0,0,1095.27,36669,37.633361,-121.862395,Female,76,True,0
52,2,1,5419,0,4,Offer E,True,49.5,True,Fiber Optic,23,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,94.3,424.45,0.0,0,198.0,44078,37.766556,-121.976784,Female,65,False,0
53,1,1,2377,1,27,None,True,10.6,True,Fiber Optic,23,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,75.5,1893.95,0.0,0,286.2,28568,37.685052,-121.912061,Male,75,True,0
54,1,1,5906,0,8,Offer E,True,40.45,True,Fiber Optic,29,False,False,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,100.6,819.4,0.0,0,323.6,21205,37.871416,-122.246597,Male,75,False,0
55,1,1,4486,1,3,Offer E,True,25.77,False,Fiber Optic,2,True,False,False,True,True,False,False,True,Month-to-Month,True,Mailed Check,88.3,273.75,0.0,0,77.31,11889,37.897753,-122.279391,Female,68,True,0
56,1,1,5662,0,8,Offer E,True,42.93,False,Fiber Optic,9,False,False,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,92.1,729.95,0.0,0,343.44,8157,37.872902,-122.303708,Female,71,False,0
57,3,1,4777,0,14,None,True,11.31,False,Fiber Optic,24,False,False,False,False,True,True,False,True,Month-to-Month,False,Credit Card,90.45,1266.1,0.0,0,158.34,12010,37.946617,-122.563571,Male,74,False,0
58,1,1,2437,0,12,None,False,0.0,False,DSL,10,False,False,True,True,False,True,False,True,Month-to-Month,True,Bank Withdrawal,43.65,526.95,0.0,0,0.0,1025,38.010092,-122.689442,Male,77,False,0
59,1,1,2995,0,13,None,True,40.37,False,Fiber Optic,21,False,False,True,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,74.3,940.35,0.0,0,524.81,4753,36.936228,-121.785559,Female,73,False,0
60,2,1,2202,0,11,None,True,3.96,False,Fiber Optic,27,False,False,False,False,True,True,False,True,Month-to-Month,False,Bank Withdrawal,89.7,1047.7,0.0,0,43.56,49968,37.03889,-121.528955,Female,68,False,0
61,3,1,5508,1,17,None,True,28.18,True,Cable,16,False,False,True,False,True,True,False,True,Month-to-Month,True,Credit Card,100.45,1622.45,0.0,0,479.06,13290,37.222842,-121.988727,Male,74,True,0
62,3,1,4687,1,39,None,True,33.25,True,Fiber Optic,26,False,True,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,105.65,4284.8,0.0,0,1296.75,32804,37.316146,-121.936285,Male,65,True,0
63,3,1,4553,5,11,None,True,17.25,True,Fiber Optic,27,False,False,True,True,True,True,False,True,Month-to-Month,True,Bank Withdrawal,104.05,1133.65,0.0,0,189.75,15798,37.28682,-121.723877,Female,73,True,0
64,2,1,3834,1,3,Offer E,True,3.29,False,Fiber Optic,9,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,80.4,224.05,0.0,0,9.870000000000001,21,38.358464,-120.579304,Female,74,True,0
65,1,1,4716,0,21,None,True,34.62,False,DSL,14,False,False,True,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,60.05,1236.15,0.0,0,727.02,2144,38.085839,-120.37855,Male,80,False,0
66,2,1,5913,0,16,None,True,38.75,True,Fiber Optic,16,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,96.15,1529.2,0.0,0,620.0,48690,33.141265,-116.967221,Female,76,False,0
67,2,1,3180,0,46,None,True,6.13,False,Fiber Optic,30,False,True,False,False,True,True,False,True,One Year,False,Credit Card,95.25,4424.2,0.0,0,281.98,30173,33.840524,-118.148403,Female,73,False,0
68,1,1,5651,1,68,Offer A,True,24.13,True,Fiber Optic,24,False,True,False,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,89.6,6127.6,0.0,0,1640.84,476,38.493888,-122.777141,Female,70,True,0
69,2,1,3077,1,7,Offer E,True,13.63,False,Fiber Optic,27,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,89.5,676.7,0.0,0,95.41000000000001,2223,39.12334,-122.838198,Male,75,True,0
70,1,1,4981,1,15,None,True,45.25,True,Cable,22,False,False,False,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,85.6,1345.55,0.0,0,678.75,261,40.166028,-123.584144,Male,74,True,0
71,3,1,2508,0,16,None,True,19.18,True,Fiber Optic,22,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,86.6,1281.0,0.0,0,306.88,1689,40.825486,-124.049485,Male,76,False,0
72,2,1,4371,0,1,Offer E,True,29.68,False,Cable,18,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,69.25,69.25,0.0,0,29.68,1447,40.665952,-124.240051,Female,75,False,0
73,1,1,5688,0,1,None,False,0.0,False,Cable,5,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,25.2,25.2,0.0,0,0.0,3284,40.485849,-124.163234,Female,74,False,0
74,1,1,2230,0,13,None,True,19.03,True,Fiber Optic,24,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,95.05,1290.0,0.0,0,247.39000000000001,648,38.544002,-121.685559,Female,73,False,0
75,3,1,4363,0,1,None,True,20.06,False,Fiber Optic,24,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,79.2,79.2,0.0,0,20.06,51855,38.672638,-121.147403,Female,69,False,0
76,1,1,3369,1,34,None,True,2.88,True,Fiber Optic,4,False,True,True,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,94.25,3217.55,0.0,0,97.92,844,38.674276,-121.961866,Female,75,True,0
77,1,1,2268,0,4,None,True,12.68,False,Fiber Optic,10,False,True,True,False,True,True,True,True,Month-to-Month,True,Credit Card,99.8,442.85,0.0,0,50.72,901,38.833554,-121.498102,Female,65,False,0
78,3,1,4193,0,2,None,True,19.27,True,Fiber Optic,18,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,93.85,170.85,0.0,0,38.54,1219,38.984756,-121.345074,Female,77,False,0
79,2,1,5745,0,9,None,True,30.8,True,Fiber Optic,18,False,False,False,False,False,True,False,True,Month-to-Month,True,Credit Card,84.4,732.5,0.0,0,277.2,3600,39.043387,-121.409837,Male,67,False,0
80,1,1,4028,0,5,None,True,42.33,False,Fiber Optic,9,False,False,True,False,False,False,False,True,Month-to-Month,True,Credit Card,75.55,349.65,0.0,0,211.64999999999998,299,38.591134,-121.161585,Female,78,False,0
81,1,1,4458,0,22,Offer D,True,40.18,True,Fiber Optic,8,False,False,False,False,True,True,True,False,Month-to-Month,True,Bank Withdrawal,96.7,2082.95,0.0,100,883.96,86,40.171312,-121.120605,Male,65,False,0
82,1,1,5683,0,19,Offer D,True,39.97,True,Fiber Optic,9,False,True,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,88.2,1775.8,0.0,0,759.43,614,39.381174,-121.21191,Male,74,False,0
83,3,1,2099,0,15,Offer D,True,46.38,True,Fiber Optic,19,False,False,False,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,75.65,1146.65,0.0,0,695.7,1351,40.077028,-121.494168,Male,70,False,0
84,1,1,3348,0,1,None,True,11.34,True,Fiber Optic,20,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,74.7,74.7,0.0,0,11.34,17922,39.099204,-121.137962,Male,69,False,0
85,1,1,3884,0,1,None,False,0.0,False,DSL,26,False,False,False,False,False,False,False,False,Month-to-Month,True,Mailed Check,25.8,25.8,0.0,20,0.0,17269,39.333737,-120.858667,Female,76,False,0
86,1,1,5353,0,10,Offer D,True,41.37,True,Fiber Optic,14,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,95.35,898.35,0.0,0,413.7,48690,33.141265,-116.967221,Male,71,False,0
87,3,1,4145,0,3,None,True,30.14,False,DSL,6,False,False,False,False,False,False,False,False,Month-to-Month,False,Bank Withdrawal,45.0,127.1,0.0,10,90.42,42239,33.362575,-117.299644,Female,76,False,0
88,2,1,5374,1,12,Offer D,True,6.97,False,Fiber Optic,19,False,False,False,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,80.45,950.2,0.0,0,83.64,1845,40.704293,-122.803899,Male,77,True,0
89,2,1,2803,0,2,None,True,6.51,False,Fiber Optic,11,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,74.7,165.4,0.0,0,13.02,4931,40.582399,-122.195512,Male,74,False,0
90,1,1,3106,0,1,None,True,49.6,True,Fiber Optic,20,False,False,True,False,True,False,False,False,Month-to-Month,True,Bank Withdrawal,88.8,88.8,0.0,10,49.6,459,40.923558,-122.059933,Male,77,False,0
91,1,1,3861,1,13,Offer D,True,1.47,False,Fiber Optic,5,False,True,False,True,False,True,False,True,Month-to-Month,True,Bank Withdrawal,89.05,1169.35,0.0,0,19.11,28201,32.957195,-117.202542,Male,76,True,0
92,2,1,2740,0,23,Offer D,True,31.17,False,Fiber Optic,23,False,True,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,94.75,2293.6,0.0,0,716.9100000000001,28201,32.957195,-117.202542,Female,77,False,0
93,1,1,3209,1,17,Offer D,True,36.82,True,Fiber Optic,6,True,False,True,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,85.35,1463.45,0.0,0,625.94,28201,32.957195,-117.202542,Female,80,True,0
94,1,1,3797,0,17,None,True,40.93,False,DSL,2,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,45.05,770.6,0.0,0,695.81,28201,32.957195,-117.202542,Male,68,False,0
95,2,1,4871,0,42,None,True,9.53,True,Fiber Optic,17,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,84.65,3541.35,0.0,0,400.26,28201,32.957195,-117.202542,Female,79,False,0
96,3,1,5001,0,1,None,True,42.3,False,Fiber Optic,16,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,79.1,79.1,0.0,0,42.3,28201,32.957195,-117.202542,Male,65,False,0
97,2,1,3438,0,1,Offer E,True,39.78,False,Cable,12,False,False,True,False,False,False,False,True,Month-to-Month,True,Mailed Check,50.15,50.15,0.0,0,39.78,4258,32.898613,-117.202937,Male,68,False,0
98,1,1,3438,0,1,Offer E,True,34.51,False,Fiber Optic,15,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,69.6,69.6,0.0,0,34.51,18693,33.86532,-118.396336,Female,72,False,0
99,1,1,3380,0,41,None,True,27.95,True,Fiber Optic,23,True,True,True,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,113.2,4689.5,0.0,0,1145.95,44442,33.845706,-118.012204,Female,66,False,0
100,1,1,5394,0,13,None,True,26.11,False,Fiber Optic,4,False,False,False,False,True,True,True,False,Month-to-Month,True,Bank Withdrawal,90.5,1201.15,29.84,140,339.43,33528,33.874224,-117.993368,Male,68,False,0
101,1,1,4584,1,32,None,True,5.99,True,Fiber Optic,23,False,False,False,False,False,True,True,True,Month-to-Month,True,Bank Withdrawal,85.0,2642.05,49.57,0,191.68,63136,33.781086,-118.199049,Male,69,True,0
102,1,1,2712,1,32,None,True,49.6,True,Fiber Optic,10,False,False,False,False,False,True,True,True,Month-to-Month,False,Bank Withdrawal,85.3,2661.1,0.0,0,1587.2,23984,34.110444,-118.156957,Male,76,True,0
103,2,1,5172,1,57,None,False,0.0,False,Cable,3,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,44.85,2572.95,12.07,0,0.0,21990,34.167926,-118.267539,Male,70,True,0
104,2,1,4499,0,1,Offer E,True,15.28,False,Cable,14,False,False,False,False,False,False,False,True,Month-to-Month,False,Bank Withdrawal,45.1,45.1,0.0,0,15.28,17015,34.136306,-118.26036,Male,71,False,0
105,3,1,4972,0,1,Offer E,False,0.0,False,DSL,26,False,True,True,False,False,True,False,True,Month-to-Month,True,Bank Withdrawal,43.3,43.3,0.0,0,0.0,68018,34.200175,-118.540958,Male,75,False,0
106,1,1,3110,0,38,None,True,26.1,False,DSL,27,True,True,False,False,False,False,False,True,Month-to-Month,True,Credit Card,57.15,2250.65,0.0,0,991.8000000000001,81986,34.321621,-118.399841,Female,67,False,0
107,1,1,4745,1,35,None,True,15.98,True,Cable,22,True,True,False,True,True,False,False,True,Month-to-Month,True,Bank Withdrawal,100.5,3653.35,0.0,0,559.3000000000001,11517,34.177267,-118.31003,Female,65,True,0
108,1,1,2740,0,1,Offer E,True,15.24,False,DSL,14,False,False,False,False,False,False,False,True,Month-to-Month,False,Credit Card,45.1,45.1,0.0,0,15.24,45358,34.187599,-118.387125,Female,80,False,0
109,3,1,4795,1,30,None,True,4.65,False,DSL,29,False,True,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,50.4,1527.5,0.0,0,139.5,75319,33.990646,-117.663025,Male,71,True,0
110,3,1,4054,0,5,Offer E,True,12.27,False,Fiber Optic,20,False,False,False,False,False,True,False,True,Month-to-Month,False,Bank Withdrawal,78.95,378.4,0.0,0,61.349999999999994,34716,34.127621,-117.717863,Female,70,False,0
111,1,1,5536,0,1,Offer E,True,30.17,True,Fiber Optic,6,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,93.55,93.55,0.0,0,30.17,51213,32.825086,-117.199424,Male,73,False,0
112,1,1,4739,1,58,None,True,49.38,True,Fiber Optic,19,True,True,True,False,True,True,False,True,One Year,True,Bank Withdrawal,108.85,6287.25,0.0,0,2864.04,51213,32.825086,-117.199424,Male,78,True,0
113,2,1,5136,0,16,None,True,17.51,True,Fiber Optic,7,False,False,False,False,True,False,False,True,Month-to-Month,True,Bank Withdrawal,84.75,1350.15,0.0,0,280.16,51213,32.825086,-117.199424,Female,76,False,0
114,2,1,3208,0,1,Offer E,True,22.5,False,Fiber Optic,27,False,False,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,69.95,69.95,0.0,10,22.5,51213,32.825086,-117.199424,Female,73,False,0
115,1,1,4287,1,5,Offer E,True,47.28,True,Fiber Optic,11,False,True,False,False,False,False,False,False,Month-to-Month,True,Bank Withdrawal,81.0,371.65,40.64,10,236.4,34902,32.85723,-117.209774,Female,68,True,0
116,1,1,4317,0,21,None,True,42.27,False,Fiber Optic,7,False,False,True,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,96.8,2030.3,10.2,0,887.6700000000001,964,33.889605,-115.257009,Male,79,False,0
117,1,1,2833,0,43,None,True,31.83,False,Fiber Optic,10,True,True,False,True,True,True,False,True,Month-to-Month,True,Credit Card,108.15,4600.7,0.0,0,1368.6899999999998,48690,33.141265,-116.967221,Female,67,False,0
118,3,1,5247,1,32,None,True,33.74,True,Fiber Optic,6,False,False,False,False,True,True,False,True,Month-to-Month,True,Bank Withdrawal,93.2,2931.0,17.88,0,1079.68,42239,33.362575,-117.299644,Female,69,True,0
119,3,1,2146,0,1,Offer E,True,18.2,False,Fiber Optic,13,False,False,False,False,False,False,False,True,Month-to-Month,True,Bank Withdrawal,70.55,70.55,0.0,0,18.2,4253,34.358321,-117.618263,Female,72,False,0
120,3,1,5137,1,29,None,True,25.78,True,Fiber Optic,28,False,False,True,False,True,True,True,False,Month-to-Month,True,Bank Withdrawal,98.5,3004.15,37.55,40,747.62,12743,33.907361,-117.109972,Male,75,True,0
121,1,1,2982,1,13,None,True,31.7,True,Cable,6,False,False,False,False,True,True,True,True,Month-to-Month,True,Bank Withdrawal,95.25,1233.65,48.09,0,412.09999999999997,18311,33.581045,-117.14719,Male,67,True,0
